FLARE_IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),GOES Flare Class,Estimated GOES Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),IP Radio Bursts,Decametric Type II Burst Start Time (UT) (HH:MM),Decametric Type II Burst End Time (UT) (HH:MM),Decametric type II burst frequency range (MHz),Radio Comments
FLARE0030,,,GOES,2022-05-10 13:50:00,,2022-05-10 13:55:00,,2022-05-10 13:59:00,,X1.5,,4.0,-29.0,,,1.0,,13006.0,2022-05-10 13:50:00,,2022-05-10 13:55:00,,2022-05-10 13:59:00,,2022-05-10 13:41:41,,2022-05-10 13:46:41,,2022-05-10 13:50:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220510.png,13:58,14:23,25-180,RSTN
FLARE0031,,,STIX,,2022-05-17 16:14:51,,2022-05-17 16:27:03,,2022-05-17 17:26:07,,M5,,,-104.0,8.0,,0.841,,,2022-05-17 16:16:11,,2022-05-17 16:28:23,,2022-05-17 17:27:27,,2022-05-17 16:07:52,,2022-05-17 16:20:04,,2022-05-17 17:19:08,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220517.png,,,,
FLARE0032,,,GOES,2022-05-19 07:00:00,,2022-05-19 07:19:00,,2022-05-19 07:31:00,,M5.6,,-37.0,12.0,,,1.0,,13017.0,2022-05-19 07:00:00,,2022-05-19 07:19:00,,2022-05-19 07:31:00,,2022-05-19 06:51:41,,2022-05-19 07:10:41,,2022-05-19 07:22:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220519.png,,,,
FLARE0033,,,GOES,2022-08-16 07:52:00,,2022-08-16 07:58:00,,2022-08-16 08:05:00,,M5.0,,11.0,-22.0,,,1.0,,13078.0,2022-08-16 07:52:00,,2022-08-16 07:58:00,,2022-08-16 08:05:00,,2022-08-16 07:43:41,,2022-08-16 07:49:41,,2022-08-16 07:56:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220816.png,,,,
FLARE0034,,,GOES,2022-08-26 12:08:00,,2022-08-26 12:14:00,,2022-08-26 12:21:00,,M7.2,,-51.0,-22.0,,,1.0,,13089.0,2022-08-26 12:08:00,,2022-08-26 12:14:00,,2022-08-26 12:21:00,,2022-08-26 11:59:41,,2022-08-26 12:05:41,,2022-08-26 12:12:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220826.png,,,,
FLARE0035,,,GOES,2022-08-26 12:24:00,,2022-08-26 12:31:00,,2022-08-26 12:38:00,,M5.3,,-53.0,-22.0,,,1.0,,13089.0,2022-08-26 12:24:00,,2022-08-26 12:31:00,,2022-08-26 12:38:00,,2022-08-26 12:15:41,,2022-08-26 12:22:41,,2022-08-26 12:29:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220826.png,,,,
FLARE0036,CME0042,,GOES/STIX,2022-08-28 15:48:00,2022-08-28 15:51:48,2022-08-28 16:19:00,2022-08-28 16:09:20,2022-08-28 16:46:00,2022-08-28 17:36:28,M6.7,M7,80.0,-28.0,78.0,-30.0,1.0,0.779,13088.0,2022-08-28 15:48:00,2022-08-28 15:53:39,2022-08-28 16:19:00,2022-08-28 16:11:11,2022-08-28 16:46:00,2022-08-28 17:38:19,2022-08-28 15:39:41,2022-08-28 15:45:20,2022-08-28 16:10:41,2022-08-28 16:02:52,2022-08-28 16:37:41,2022-08-28 17:30:00,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220828.png,,,,
FLARE0037,,,STIX,,2022-08-28 18:07:52,,2022-08-28 18:28:00,,2022-08-28 19:20:32,,M5,,,84.0,-28.0,,0.778,,,2022-08-28 18:09:43,,2022-08-28 18:29:51,,2022-08-28 19:22:23,,2022-08-28 18:01:24,,2022-08-28 18:21:32,,2022-08-28 19:14:04,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220828.png,,,,
FLARE0038,,,STIX,,2022-08-29 10:46:55,,2022-08-29 11:04:55,,2022-08-29 12:01:51,,X1,,,90.0,-27.0,,0.772,,,2022-08-29 10:48:49,,2022-08-29 11:06:49,,2022-08-29 12:03:45,,2022-08-29 10:40:30,,2022-08-29 10:58:30,,2022-08-29 11:55:26,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220829.png,,,,
FLARE0039,,,GOES,2022-08-29 10:48:00,,2022-08-29 11:08:00,,2022-08-29 11:12:00,,M8.6,,86.0,-26.0,,,1.0,,13088.0,2022-08-29 10:48:00,,2022-08-29 11:08:00,,2022-08-29 11:12:00,,2022-08-29 10:39:41,,2022-08-29 10:59:41,,2022-08-29 11:03:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220829.png,,,,
FLARE0040,,,STIX,,2022-08-29 16:14:51,,2022-08-29 16:25:47,,2022-08-29 17:42:03,,M5,,,88.0,-29.0,,0.77,,,2022-08-29 16:16:46,,2022-08-29 16:27:42,,2022-08-29 17:43:58,,2022-08-29 16:08:27,,2022-08-29 16:19:23,,2022-08-29 17:35:39,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220829.png,,,,
FLARE0041,,,STIX,,2022-08-29 18:39:19,,2022-08-29 18:53:03,,2022-08-29 19:28:15,,M9,,,94.0,-27.0,,0.769,,,2022-08-29 18:41:15,,2022-08-29 18:54:59,,2022-08-29 19:30:11,,2022-08-29 18:32:56,,2022-08-29 18:46:40,,2022-08-29 19:21:52,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220829.png,,,,
FLARE0042,,,STIX,,2022-08-30 01:14:55,,2022-08-30 01:31:27,,2022-08-30 02:37:03,,X1,,,97.0,-27.0,,0.766,,,2022-08-30 01:16:52,,2022-08-30 01:33:24,,2022-08-30 02:39:00,,2022-08-30 01:08:33,,2022-08-30 01:25:05,,2022-08-30 02:30:41,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220830.png,,,,
FLARE0043,,,STIX,,2022-08-30 04:34:47,,2022-08-30 04:50:39,,2022-08-30 05:17:51,,M7,,,98.0,-28.0,,0.765,,,2022-08-30 04:36:45,,2022-08-30 04:52:37,,2022-08-30 05:19:49,,2022-08-30 04:28:26,,2022-08-30 04:44:18,,2022-08-30 05:11:30,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220830.png,,,,
